Sentiment,Product,Company_Name,Category,Country,State,Input_tweet
positive,Motorola Atrix,Motorola,Phone,United States,Texas,"It looks like a laptop, but it's a dock for the Motorola Atrix, an Android phone from #ATT. It is awesome. #SXSW {link}"
positive,Android,Google,Technology,United States,Texas,We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link}
positive,Android,Google,Technology,United States,Texas,"The New @mention for the Android 3.0 is so great, can't wait to use it during #sxsw !"
positive,Appolicious,Appolicious,App,United States,Texas,"At Team Android party, come by @mention table &amp; show us Appolicious app on yr phone to enter to win Nexus S! {link} #sxsw"
Positive,T-shirt,Google,Technology,United States,Texas,My free android tshirt #SXSW  {link}
positive,Xperia Play,Sony,Phone,United States,Texas,Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link}
negative,Galaxy S,Sprint,Mobile Phone,United States,Texas,Excited to meet the @mention at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail
Positive,Android,Google,Technology,United States,Texas,Excited to tell y'all about the wonders of android today at #sxsw! See you soon.
negative,mention,mention,social media,United States,Texas,Umm. Hello!! What about Android?! RT @mention Awesome new version of @mention for iPhone and new web site coming after #sxsw.
positive,Android,Urthots,Technology,United States,Texas,"For many of you that asked last night about the free Android phone... Sign up for urthots.com, then visit urthots.com/promo #sxswi #sxsw"
Positive,Android,Google,Technology,United States,Texas,Team Android at SXSW ÛÒ full party details revealed! {link} #News #austin #sxsw #team_android
positive,iPad 2,Apple,Technology,United States,Texas,"RT @mention 40 minutes til the @mention #SXSW Party. Free Beer, Free Maudies Tacos, Free iPad 2, Android Tablet &amp; Kindle giveaway bit.ly/ajs2011"
positive,Android,Google,Technology,United States,Texas,RT @mention And we're live! Come get your Android and check us out! {link} #SXSW #android
positive,Android,Google,Smartphone,US,Texas,RT @mention Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw
positive,Android,Google,Technology,United States,Texas,RT @mention Partying with #Android and @mention #sxsw @mention Lustre Pearl {link}
positive,Xperia Play,Sony,Phone,United States,Texas,RT @mention Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link}
positive,Android,Google,Technology,United States,Texas,Final preparations for launch underway. Join up tomorrow - 03/10 - we've got a special Android promotion starting then! #SXSW
negative,iOS,Apple,Mobile,United States,Texas,iOS app approval disrupts the continuous dev flow.  Android has been the preferred platform to fine tune and experiment #sxsw #groupchatapps
positive,Android,Google,Technology,United States,Texas,#sxsw Android users: we're proud of you.
positive,Android,Google,Technology,United States,Texas,Android growing super fast. At Lustre Pearl - Team Android party for @mention @mention @mention just walked in. #androidsxsw #sxsw
negative,Android,Google,Technology,United States,Texas,"So jealous of @mention who is at the team #android event at #sxsw #androidsxsw. Get some swag, girl!!!!!"
negative,Tweetie,Apple,Social Media,United States,Texas,I still use Tweetie for Mac &amp; I'm running Leopard. I'll be a pariah at #SXSW! I wish I at least had an Android! SOMETHING TO MAKE ME COOL.
negative,Android,Google,Mobile,United States,Texas,Spending some time this morning resetting my android phone.  First day of #sxsw was too much for it.
positive,Samsung Focus,Samsung,Mobile Phones,United States,Texas,#sxsw Just got a Samsung Focus (windows 7) phone at the android dev meetup. We're excited to try it out and build something.
negative,Android,Google,Technology,United States,Texas,Is it just me or has the @mention client for Android gotten really buggy lately? #SXSW to blame?
positive,Camera,Snapsort,Camera,United States,California,"Grab @mention for #betainvites #sxsw! @mention new Android camera, raises $1.1M from Valley players bit.ly/eA1zgD /via @mention"
positive,Android,Google,Technology,United States,Texas,"Google dev at the panel indicates that Android now has a Screen Reader that works with widgets, native ui, web views and the browser #SXSW"
positive,Android,Google,Mobile,United States,Texas,Auntie's voxpop of  popular #sxsw apps is worth a watch: {link} Not many Android phones on view.
Positive,Android,Google,Technology,United States,Texas,Need a few #android loving volunteers from 10:45am-3 at #sxsw
positive,Foursquare,Foursquare,Social Networking,United States,Texas,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw"
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW
positive,FrostWire,FrostWire,Music,United States,Texas,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available"
positive,Bizzy,,,,,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link}
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Congrats! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
Positive,PdaNet,PdaNet,App,United States,Texas,PdaNet is the most awesome app yet for the android! #sxsw @mention likes!
Positive,bizzy,,,,,"Check out this new #android app #bizzy, we're using it to check out #sxsw {link}"
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Congrats!!! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Nice! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
positive,Calyp,Calyp,App,United States,Texas,DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW
positive,Android,,,,,@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone
positive,Gowalla,Google,Social Networking,United States,Texas,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
Positive,EventSeekr,EventSeekr,Event,United States,Texas,@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way
positive,Smyle,Smyle,Social Networking,United States,Texas,"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app"
positive,Seesmic,Google,Social Media,United States,Texas,"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!"
Positive,Cobra iRadar,Cobra,GPS,United States,Texas,Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW
positive,EventSeekr,EventSeekr,Event,United States,Texas,Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link}
positive,Foursquare,Foursquare,Social Networking,United States,Texas,"Foursquare ups the game, just in time for #SXSW {link} - Still prefer @mention by far, best looking Android app to date."
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Wow RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
Positive,Cluster,Cluster,App,United States,Texas,Good app for &quot;party people/party crasher&quot; ! RT @mention We have release Android App for Cluster -&gt; {link} #sxsw
positive,Android,Mashable,Technology,United States,Texas,Platform for Concertgoers Launches Android App in Time for SXSW - Mashable! {link} #sxsw
Positive,Mention,Mention,Social Media,United States,Texas,Installing @mention on my android so I can get the VIP pedicab treatment at #sxsw =)
Negative,Android,,,,,"Beware, the android #sxsw app for schedules is completely innacurate. Just walked to the hyatt for no reason #sxswfail"
positive,Bizzy,TDG,App,United States,Texas,Have you heard about the #android app Bizzy? They've challenged TDG to Check Out #sxsw read more: {link}
positive,sXsw,,,Texas,,"@mention Hey Taariq, howdy from Texas, fav #sXsw app so far is the official one {link} &lt;--android-or get Iphone #UsGuys"
Positive,Android,SXSW,Event,United States,Texas,#sxsw adding my schedule into the android sxsw go app.  Handy.
positive,Bizzy,Bizzy,App,United States,Texas,Just ran into @mention and apparently @mention didn't tell him there's a Bizzy android app :) remedied #sxsw cc: @mention
negative,Android,Google,Social Networking,United States,Texas,Hey @mention got invited to a new group at #SXSW and your Android app keeps crashing when I try to join! WTF? #sxswfail
Positive,Domo,Domo,Software,United States,Texas,Domo for iOS and Android just got released! @mention #domo #tonchidot #boom #sxsw
positive,Android,Google,App,United States,Texas,"Getting hip to new Android apps in preparation for #Hangover3, also known as #SXSW. @mention @mention and @mention apps rock my socks :)"
positive,Music WithMe,Music WithMe,Music,United States,Texas,We're excited to be at #sxsw and giddy to announce that Music WithMe for Android is now available in Android Market. {link}
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW
positive,Android,Google,Technology,United States,Texas,@mention Just started using the Android app. Totally killer service and I think you'll be huge at #SXSW! Hope your servers are ready. ;)
positive,Grindr,Grindr,Social Networking,United States,Texas,Yeah Googlegays! Get your SxSWSex on! @mention Popular Gay Dating App Grindr Now on Android - {link} #Grindr #SxSW
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
negative,Android,Twitter,Social Media,United States,Texas,"I was really hoping #SXSW would bring an Android version of @mention Oh well, maybe someday...a long time from now."
Positive,sxsw go,,,,,Just downloaded the #sxsw go app off the android market... let's get ittttt
positive,Go,Google,Software,United States,California,"RT @mention #SXSW Go 1.1 for Android is LIVE in the Android Marketplace! New features, including SD card storage and more.  {link} via @mention"
positive,bizzy,,,,,"RT @mention Check out this new #android app #bizzy, we're using it to check out #sxsw {link}"
positive,Whrrl,Whrrl,Social Media,United States,Texas,"RT @mention Get it while it's hot! The latest version of Whrrl is available today for Android, iPhone - and Blackberry! WHRRL FOR BLACKBERRY! :-) #SXSW"
positive,Hot Pot,Google,Mobile,United States,Texas,RT @mention Hot Pot from Google for mobile maps is a 'very' interesting new app. #sxsw #sxswi
positive,mention,mention,App,United States,Texas,RT @mention Our #sxsw app is now on #android :D huge props to @mention @mention @mention &amp; @mobileroadie Get it now: {link}
positive,Retrollect,Borderstylo,Entertainment,United States,Texas,RT @mention Retrollect is now also in Android Market! #SxSW https://market.android.com/details?id=com.borderstylo.retrollect
positive,Music WithMe,Music WithMe,Music,United States,Texas,RT @mention We're excited to be at #sxsw and giddy to announce that Music WithMe for Android is now available in Android Market. {link}
positive,Gowalla,Android,App,United States,Texas,RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
Positive,Planzai,Planzai,Music,United Kingdom,Texas,Planzai app featuring the official British Music schedule now on android market! {link} #sxsw
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Awesome! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
negative,sxsw go,sxsw,Event,United States,Texas,Anyone else having trouble synching your schedule with the android sxsw go app? #sxsw
positive,Gowalla,Gowalla,Social Networking,United States,Texas,Huzzah! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
positive,Winamp,Winamp,Music,United States,Texas,"Free #SXSW streams/downloads via new free Winamp app in Android market, direct link to app download in market {link}"
positive,Fast Society,Fast Society,Social Networking,United States,Texas,"Group #Texting War Heats Up: Fast Society Launches New Android App, Updates iPhone App: #SXSWÛ_ {link}"
positive,Gowalla,Android,App,United States,Texas,Good job y'all!  RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw
positive,iPad 2,Apple,Electronics,United States,Texas,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2
negative,iPad 2,Apple,Computers,United States,Texas,"iPad 2 is coming out at #SXSW, guess Apple's pretty desperate to give it attention."
positive,Docomo,Apple,Mobile,Japan,Texas,In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw
negative,Apple,Apple,Technology,United States,Texas,Jeez guys dunno about an Apple pop-up over a Gold's Gym. Do u realize how un-Jobs-aesthetic that is? #SXSW #Apple
negative,charger,Apple,electronics,United States,Texas,Day 1 and my charger kicked the bucket. Where the heck is the Apple store that's within walking distance? #sxsw
negative,Apple,Apple,News,United States,Texas,Tomlinson of TX Observer says Apple subscription data holding is biggest impediment to success. #newsapps #sxsw
negative,iPad 2,Apple,Electronics,United States,Texas,"Just read that #apple will be at #SXSW selling iPad 2 on release day. Good lord, the vortex of smugness that day may be unbearable."
negative,Apple,Apple,Computers,United States,Texas,People in this Apple store do not...smell great. #sxsw #hereforwork #nottheipad2
positive,Apple,Apple,Technology,United States,Texas,Thank you to @mention for letting me test drive a car to the Apple store. Now lets hope that they can fix my phone!! #sxsw
negative,iPad 2,Apple,Technology,United States,Texas,"if #Apple weren't so cocky, perhaps a separate ipad2 store at #SXSW would have been a good idea. guess they don't need the extra marketing;)"
negative,Apple,Apple,Computers,United States,Texas,@mention - #Apple is the classiest fascist company in America. Really elegant. #sxsw #rji
negative,Apple,Apple,Computers,United States,Texas,Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw
positive,Apple,Apple,Technology,United States,Texas,Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW
positive,GroupMe,Apple,App Store,United States,Texas,GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw
negative,iPad,Apple,Computers,United States,Texas,It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.
negative,iOS,Apple,Technology,United States,Texas,A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies
Positive,Apple,Apple,Technology,United States,Texas,@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo
negative,Apple,Apple,Technology,United States,Texas,Too quotable --&gt; RT ÛÏ@mention &quot;Apple is the most elegant fascist company in America.&quot; #flip-board #SXSW
positive,Windows,Apple,Computers,United States,Texas,#sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha
positive,iPod,Apple,Electronics,United States,Texas,"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days."
negative,Apple,Apple,Technology,United States,Texas,"True,expect more insidious approaches, like Apple subscriptions. RT @mention {link} . Disgraceful.  #libraries #sxsw"
positive,Samsung,Samsung,Electronics,United States,Texas,The forbidden apple has been spoiled! Long live #samsung! They are rocking the #sxsw &amp; #sxswi's world.
negative,iPad,Apple,Computers,United States,Texas,is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw
negative,Apple,Apple,Computers,United States,Texas,"Apple cited as the opposite of crowdsourcing - proprietary, Steve Jobs tells you what you want #csuitecsourcing #sxsw"
positive,iphone,Apple,electronics,United States,Texas,Just walked past the supposed #Apple #SxSW temp store downstairs @mention and the apple cult was outside taking photos on iphones.
negative,iPhone,Apple,Electronics,United States,Texas,It is never more apparent than at #sxsw how nice it would be if apple made stuff w/ removable batteries. #alwayshavingtoplugin #gsdm
Negative,Apple,Apple,Corporate Sustainability Reporting and Transparency,United States,Texas,Apple takes bruises from panelists. Not well regarded in sustainability space.  Corporate Sustainability Reporting and Transparency.  #SXSW
negative,Apple,Apple,Technology,United States,California,&quot;Apple: the most elegant fascist corporation in America today.&quot; -- Kara Swisher #sxsw #flipboard
positive,Apple,Apple,Technology,United States,Texas,Barry Diller says that you're silly if you write content for one form factor only. Apple like it because they get money #SXSW
Positive,Apple,Apple,Technology,United States,Texas,Barry Diller's pragmatic and straight forward which is nice. Looks like he wants us to grab pitchforks vs. Apple #SXSW
negative,MacBook,Apple,Computers,United States,Texas,@mention Might need to go to Apple today. I think my &quot;S&quot; &quot;X&quot; and &quot;W&quot; keys are worn out. #SXSW
negative,iPad2,Apple,Technology,United States,Texas,I asked one of the booth people if #apple paid every single booth here to show their product on iPad2s. She said no. #idontbelieve #sxsw
negative,Apple,Microsoft,Technology,United States,Texas,In the Consumerist's &quot;Worst Company in America 2011&quot; tournament bracket - apple is pitted against microsoft in the first round #sxsw
negative,Apple,Ogilvy,Technology,United States,Texas,Apple autocorrect is so weird. Ogilvy autocorrects to idiocy. #ogilvynotes #sxsw :)
negative,Apple,Apple,Computers,United States,Texas,MT @mention (Swisher calls Apple &quot;the classiest fascist company in America&quot; #sxflip #sxsw
negative,Apple,Apple,Computers,United States,California,RT @mention &quot;@mention - #Apple is the classiest fascist company in America. Really elegant.&quot; #sxsw #rji
negative,Apple,Apple,Technology,United States,Texas,RT @mention &quot;Apple is the most elegant fascist company in America.&quot; #flipboard #SXSW
negative,Apple,Apple,Technology,United States,California,RT @mention &quot;Apple: the most elegant fascist corporation in America today.&quot; -- Kara Swisher #sxsw #flipboard
positive,Apple,Apple,Computers,United States,Texas,RT @mention &quot;I believe in God because there is no other explanation for Apple's continued existence.&quot; Guy Kawasaki #enchantment #sxsw
negative,Apple,Apple,Technology,United States,Texas,Apple...&quot;the classiest fascist company in America&quot; Kara Swisher #sxsw
negative,Apple,Apple,Electronics,United States,Texas,Looking at the line for the pop up #sxsw apple store...I can't think of a single object I want that much.
negative,Apple,Apple,Computers,United States,Texas,I have yet to walk into a conference room where it doesn't look like an Apple ad. You'd think there was nothing else. #SXSW
Positive,Mac,Apple,Computers,United States,Texas,@mention the apple #sxsw #popupstore is like a crack house for mac addicts
negative,Apple,Apple,Computers,United States,Texas,Apple is the classiest facist company in America. - Kara Swisher #sxsw
negative,Apple,Apple,Computers,United States,Texas,ProTip: Avoid the Austin-area Apple stores on Friday #SXSW
Positive,Apple,Apple,Electronics,Canada,NA,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear
positive,iPad2,Apple,Technology,United States,Texas,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2
positive,Apple,Apple,Computers,United States,Texas,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ
positive,Apple,Apple,Computers,United States,Texas,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}"
positive,Apple,Apple,Computers,United States,Texas,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw"
positive,Pagemaker,Apple,Computers,United States,Georgia,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention
positive,Apple,Apple,Technology,United States,Texas,"At #SXSW, #Apple schools the marketing experts - {link}"
Positive,Apple,Apple,Technology,United States,Texas,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}"
positive,Apple,Apple,Computers,United States,Texas,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters."
positive,Apple Store,Apple,Technology,United States,Texas,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}"
negative,Apple,Apple,Computers,United States,Texas,Temporary #sxsw apple store. Apple being sneaky as usual  {link}
positive,iPad 2,Apple,Electronics,United States,Texas,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.
Positive,Apple,Apple,Computers,United States,Texas,#SXSW day 5 at the #apple store and there's still a line...and growing {link}
positive,ipad2,Apple,Technology,United States,Texas,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2
Positive,iPhone,Apple,Electronics,United States,Texas,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link}
positive,iPhone,Apple,Electronics,United States,Texas,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet
positive,iPad,Apple,Electronics,United States,Texas,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link}
positive,Apple,Apple,Retail,United States,Texas,ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw
positive,iPad 2,Apple,Technology,United States,Texas,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw
positive,Apple,Apple,Tech,United States,Texas,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech"
Positive,Apple,Apple,Technology,United States,Texas,"At #SXSW, Apple schools the marketing experts {link}"
positive,Apple,Apple,Technology,United States,Texas,"At #SXSW, Apple schools the marketing experts {link} via @mention"
positive,Apple,Apple,Technology,United States,California,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them."
positive,Apple,Apple,Technology,United States,California,"At #SXSW, Apple schools the marketing experts | CNET - {link}"
Positive,Apple,Apple,Technology,United States,Texas,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail"
positive,Apple,Apple,Computers,United States,Texas,ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ @mention there's still time :)
Positive,Apple,Apple,Computers,United States,Texas,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple
negative,Apple,Apple,Computers,United States,Texas,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.
Positive,iPad,Apple,Technology,United States,Texas,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw
positive,iPad2,Apple,Computers,United States,Texas,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2
positive,iPad 2,Apple,Electronics,United States,Texas,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW"
positive,Apple,Apple,Tech,United States,California,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech"
positive,iPad,Apple,Computers,United States,Texas,this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw
positive,Apple,Apple,Computers,United States,Texas,This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention
positive,Apple,Apple,Computers,United States,Texas,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link}
positive,iPad 2,Apple,Technology,United States,Texas,"Exciting, canÛªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}"
positive,Apple,Apple,Technology,United States,California,#Apple To Follow Its Customers To #SXSW - Forbes - {link} - Alcoholics call this Û÷enabling.Ûª The rest of us call it genius.
positive,ipad2,Apple,Computers,United States,Texas,Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2
positive,Apple,Apple,Technology,United States,Texas,Marketing Genius: Apple opens pop up store outside of #SXSW {link}
positive,iOS,Apple,Technology,United States,Texas,"Hot-spot! If only @mention data speed could keep up RT @mention Also, thanks to Apple for releasing iOS 4.3 just in time for #SXSW"
positive,Apple,Apple,Computers,United States,Texas,wondering if ppl in #sxsw on friday will queue at the convention centre or the apple store! xD i'm still figuring out wot i'll do!
Positive,Gowalla,Apple,Technology,United States,Texas,"Hot spots in Austin on Gowalla right now: convention cnt, the Ignite party n the Apple store. #sxsw #sxswi"
positive,Mac,Apple,Computers,United States,Texas,"For those in need of sweet Mac goodness at #SXSW, Apple has set up a temporary store downtown: {link}"
positive,Apple Store,Apple,Technology,United States,Texas,Of course it does! RT @mention #SXSW Gets Its Own Apple Store {link} #geeksrule
positive,iPad,Apple,Computers,United States,Texas,There's a line at #SXSW Apple Store on ipad Day 2! {link}
positive,Apple,Apple,Computers,United States,Texas,"You gotta love @mention @mention unabashed Apple #fanboy &gt;&gt; Before It Even Begins, Apple Wins #SXSW :: {link}"
positive,iPad 2,Apple,Technology,United States,Texas,So geeky! Love it! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link}
positive,Apple,Apple,Technology,United States,Texas,.@mention Love it. @mention @mention #sxsw: &quot;apple comes up w/ cool technology no one's ever heard of because they don't go 2 conferences&quot; me 2!
positive,Apple,Apple,Technology,United States,Texas,ÛÏ@mention Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û
positive,Apple,Apple,Technology,United States,Texas,I love it marketing genius.. #SXSW RT @mention Inside Apple's Temporary Store in Austin {link}
positive,Apple,Apple,Computers,United States,Texas,"Brilliant move by Apple: before it even begins, Apple wins #SXSW {link}"
positive,iPad 2,Apple,Technology,United States,Texas,"ÛÏ@mention Not a rumor: Apple doing popup store in downtown Austin for #SXSW &amp; iPad 2 launch {link} Smart move, 1of many #dfcbto"
