Application ID,Default_Status
20210600220,0
20210600221,1
20210600222,0
20210600223,0
20210600224,1
20210600225,1
20210600226,1
20210600227,1
20210600228,0
20210600229,1
20210600230,1
20210600231,1
20210600232,0
20210600233,1
20210600234,1
20210600235,1
20210600236,1
20210600237,1
20210600238,0
20210600239,1
20210600240,1
20210600241,1
20210600242,0
20210600243,1
20210600244,1
20210600245,1
20210600246,0
20210600247,0
20210600248,1
20210600249,1
20210600250,0
20210600251,0
20210600252,0
20210600253,1
20210600254,1
20210600255,1
20210600256,1
20210600257,1
20210600258,0
20210600259,1
20210600260,1
20210600261,0
20210600262,1
20210600263,1
20210600264,0
20210600265,0
20210600266,1
20210600267,1
20210600268,1
20210600269,1
20210600270,1
20210600271,0
20210600272,1
20210600273,1
20210600274,1
20210600275,1
20210600276,1
20210600277,1
20210600278,1
20210600279,0
20210600280,0
20210600281,0
20210600282,1
20210600283,1
20210600284,1
20210600285,0
20210600286,1
20210600287,1
20210600288,1
20210600289,1
20210600290,1
20210600291,1
20210600292,1
20210600293,1
20210600294,1
20210600295,1
20210600296,1
20210600297,1
20210600298,0
20210600299,0
20210600300,0
20210600301,0
20210600302,1
20210600303,0
20210600304,0
20210600305,0
20210600306,1
20210600307,0
20210600308,1
20210600309,1
20210600310,1
20210600311,1
20210600312,0
20210600313,1
20210600314,0
20210600315,1
20210600316,1
20210600317,1
20210600318,1
20210600319,1
20210600320,1
20210600321,0
20210600322,1
20210600323,1
20210600324,1
20210600325,1
20210600326,1
20210600327,0
20210600328,1
20210600329,0
20210600330,1
20210600331,1
20210600332,1
20210600333,1
20210600334,1
20210600335,1
20210600336,1
20210600337,1
20210600338,0
20210600339,0
20210600340,1
20210600341,1
20210600342,0
20210600343,1
20210600344,0
20210600345,1
20210600346,1
20210600347,1
20210600348,0
20210600349,1
20210600350,1
20210600351,1
20210600352,1
20210600353,1
20210600354,0
20210600355,1
20210600356,1
20210600357,1
20210600358,1
20210600359,0
20210600360,1
20210600361,0
20210600362,0
20210600363,1
20210600364,0
20210600365,1
20210600366,1
20210600367,0
20210600368,1
20210600369,0
20210600370,0
20210600371,1
20210600372,1
20210600373,1
20210600374,1
20210600375,0
20210600376,1
20210600377,1
20210600378,0
20210600379,1
20210600380,1
20210600381,1
20210600382,0
20210600383,0
20210600384,1
20210600385,1
20210600386,1
20210600387,1
20210600388,1
20210600389,1
20210600390,1
20210600391,1
20210600392,1
20210600393,1
20210600394,0
20210600395,1
20210600396,0
20210600397,1
20210600398,1
20210600399,1
20210600400,1
20210600401,0
20210600402,0
20210600403,1
20210600404,1
20210600405,1
20210600406,0
20210600407,0
20210600408,1
20210600409,1
20210600410,1
20210600411,1
20210600412,1
20210600413,1
20210600414,0
20210600415,0
20210600416,0
20210600417,1
20210600418,1
20210600419,0
20210600420,0
20210600421,0
20210600422,1
20210600423,1
20210600424,0
20210600425,0
20210600426,1
20210600427,1
20210600428,1
20210600429,0
20210600430,0
20210600431,0
20210600432,1
20210600433,0
20210600434,1
20210600435,1
20210600436,1
20210600437,1
20210600438,1
20210600439,1
20210600440,1
20210600441,1
20210600442,0
20210600443,1
20210600444,1
20210600445,0
20210600446,1
20210600447,0
20210600448,1
20210600449,1
20210600450,1
20210600451,1
20210600452,0
20210600453,1
20210600454,1
20210600455,1
20210600456,1
20210600457,1
20210600458,0
20210600459,1
20210600460,0
20210600461,1
20210600462,1
20210600463,1
20210600464,1
20210600465,1
20210600466,0
20210600467,1
20210600468,0
20210600469,1
20210600470,0
20210600471,1
20210600472,1
20210600473,0
20210600474,1
20210600475,1
20210600476,0
20210600477,1
20210600478,1
20210600479,1
20210600480,1
20210600481,1
20210600482,1
20210600483,1
20210600484,1
20210600485,0
20210600486,1
20210600487,1
20210600488,0
20210600489,0
20210600490,1
20210600491,1
20210600492,1
20210600493,1
20210600494,1
20210600495,1
20210600496,1
20210600497,1
20210600498,1
20210600499,0
20210600500,1
20210600501,0
20210600502,1
20210600503,1
20210600504,1
20210600505,1
20210600506,1
20210600507,0
20210600508,0
20210600509,1
20210600510,1
20210600511,1
20210600512,1
20210600513,0
20210600514,0
20210600515,1
20210600516,0
20210600517,1
20210600518,1
20210600519,1
20210600520,1
20210600521,1
20210600522,1
20210600523,0
20210600524,1
20210600525,1
20210600526,1
20210600527,1
20210600528,0
20210600529,0
20210600530,0
20210600531,1
20210600532,0
20210600533,0
20210600534,1
20210600535,1
20210600536,0
20210600537,1
20210600538,1
20210600539,0
20210600540,1
20210600541,0
20210600542,1
20210600543,1
20210600544,1
20210600545,1
20210600546,0
20210600547,1
20210600548,1
20210600549,1
20210600550,0
20210600551,1
20210600552,1
20210600553,1
20210600554,0
20210600555,0
20210600556,0
20210600557,1
20210600558,1
20210600559,1
20210600560,0
20210600561,0
20210600562,0
20210600563,1
20210600564,1
20210600565,0
20210600566,0
20210600567,1
20210600568,1
20210600569,1
20210600570,0
20210600571,0
20210600572,1
20210600573,1
20210600574,1
20210600575,0
20210600576,1
20210600577,1
20210600578,0
20210600579,0
20210600580,0
20210600581,1
20210600582,1
20210600583,1
20210600584,1
20210600585,1
20210600586,1
20210600587,1
20210600588,1
20210600589,1
20210600590,0
20210600591,0
20210600592,0
20210600593,1
20210600594,1
20210600595,0
20210600596,0
20210600597,0
20210600598,1
20210600599,1
20210600600,1
20210600601,0
20210600602,1
20210600603,0
20210600604,1
20210600605,1
20210600606,1
20210600607,1
20210600608,1
20210600609,1
20210600610,0
20210600611,1
20210600612,0
20210600613,1
20210600614,1
20210600615,1
20210600616,1
20210600617,1
20210600618,1
20210600619,0
20210600620,1
20210600621,1
20210600622,1
20210600623,1
20210600624,1
20210600625,0
20210600626,1
20210600627,1
20210600628,1
20210600629,1
20210600630,1
20210600631,1
20210600632,1
20210600633,1
20210600634,0
20210600635,1
20210600636,1
20210600637,0
20210600638,0
20210600639,0
20210600640,1
20210600641,0
20210600642,1
20210600643,1
20210600644,1
20210600645,0
20210600646,0
20210600647,1
20210600648,1
20210600649,1
20210600650,1
20210600651,1
20210600652,0
20210600653,1
20210600654,0
20210600655,1
20210600656,0
20210600657,1
20210600658,1
20210600659,1
20210600660,1
20210600661,1
20210600662,0
20210600663,0
20210600664,1
20210600665,1
20210600666,0
20210600667,1
20210600668,0
20210600669,1
20210600670,1
20210600671,1
20210600672,1
20210600673,1
20210600674,1
20210600675,1
20210600676,1
20210600677,0
20210600678,0
20210600679,1
20210600680,0
20210600681,1
20210600682,0
20210600683,1
20210600684,1
20210600685,1
20210600686,1
20210600687,0
20210600688,0
20210600689,1
20210600690,1
20210600691,1
20210600692,0
20210600693,1
20210600694,1
20210600695,1
20210600696,1
20210600697,1
20210600698,0
20210600699,0
20210600700,1
20210600701,0
20210600702,1
20210600703,0
20210600704,0
20210600705,1
20210600706,1
20210600707,0
20210600708,1
20210600709,1
20210600710,0
20210600711,1
20210600712,0
20210600713,1
20210600714,1
20210600715,1
20210600716,1
20210600717,0
20210600718,1
20210600719,0
20210600720,0
20210600721,0
20210600722,1
20210600723,0
20210600724,1
20210600725,0
20210600726,1
20210600727,0
20210600728,1
20210600729,1
20210600730,0
20210600731,1
20210600732,1
20210600733,1
20210600734,1
20210600735,1
20210600736,0
20210600737,1
20210600738,0
20210600739,1
20210600740,1
20210600741,0
20210600742,1
20210600743,1
20210600744,1
20210600745,0
20210600746,1
20210600747,0
20210600748,1
20210600749,1
20210600750,1
20210600751,1
20210600752,1
20210600753,1
20210600754,1
20210600755,1
20210600756,1
20210600757,0
20210600758,1
20210600759,0
20210600760,1
20210600761,1
20210600762,1
20210600763,1
20210600764,1
20210600765,1
20210600766,1
20210600767,1
20210600768,0
20210600769,0
20210600770,1
20210600771,0
20210600772,1
20210600773,0
20210600774,1
20210600775,1
20210600776,1
20210600777,1
20210600778,0
20210600779,1
20210600780,0
20210600781,1
20210600782,1
20210600783,1
20210600784,1
20210600785,1
20210600786,1
20210600787,1
20210600788,1
20210600789,0
20210600790,1
20210600791,1
20210600792,1
20210600793,0
20210600794,1
20210600795,1
20210600796,1
20210600797,1
20210600798,1
20210600799,0
20210600800,1
20210600801,1
20210600802,0
20210600803,1
20210600804,1
20210600805,0
20210600806,1
20210600807,1
20210600808,0
20210600809,1
20210600810,1
20210600811,1
20210600812,1
20210600813,1
20210600814,1
20210600815,1
20210600816,0
20210600817,1
20210600818,1
20210600819,0
20210600820,1
20210600821,1
20210600822,1
20210600823,0
20210600824,0
20210600825,1
20210600826,1
20210600827,1
20210600828,0
20210600829,1
20210600830,1
20210600831,1
20210600832,1
20210600833,0
20210600834,1
20210600835,0
20210600836,1
20210600837,0
20210600838,1
20210600839,1
20210600840,1
20210600841,1
20210600842,1
20210600843,1
20210600844,1
20210600845,1
20210600846,1
20210600847,1
20210600848,1
20210600849,1
20210600850,1
20210600851,1
20210600852,1
20210600853,1
20210600854,1
20210600855,1
20210600856,1
20210600857,1
20210600858,1
20210600859,0
20210600860,1
20210600861,1
20210600862,0
20210600863,1
20210600864,1
20210600865,1
20210600866,1
20210600867,1
20210600868,1
20210600869,0
20210600870,0
20210600871,1
20210600872,0
20210600873,1
20210600874,0
20210600875,1
20210600876,1
20210600877,1
20210600878,1
20210600879,1
20210600880,1
20210600881,0
20210600882,1
20210600883,1
20210600884,1
20210600885,1
20210600886,1
20210600887,0
20210600888,1
20210600889,1
20210600890,1
20210600891,0
20210600892,1
20210600893,1
20210600894,1
20210600895,1
20210600896,1
20210600897,1
20210600898,1
20210600899,1
20210600900,1
20210600901,0
20210600902,1
20210600903,0
20210600904,1
20210600905,1
20210600906,0
20210600907,1
20210600908,1
20210600909,1
20210600910,1
20210600911,1
20210600912,1
20210600913,0
20210600914,1
20210600915,1
20210600916,1
20210600917,0
20210600918,1
20210600919,1
20210600920,0
20210600921,0
20210600922,1
20210600923,1
20210600924,1
20210600925,1
20210600926,1
20210600927,1
20210600928,0
20210600929,1
20210600930,1
20210600931,0
20210600932,1
20210600933,1
20210600934,1
20210600935,1
20210600936,1
20210600937,1
20210600938,0
20210600939,0
20210600940,0
20210600941,0
20210600942,1
20210600943,0
20210600944,0
20210600945,1
20210600946,1
20210600947,1
20210600948,1
20210600949,0
20210600950,0
20210600951,1
20210600952,1
20210600953,0
20210600954,0
20210600955,1
20210600956,1
20210600957,1
20210600958,0
20210600959,1
20210600960,1
20210600961,0
20210600962,1
20210600963,1
20210600964,1
20210600965,1
20210600966,1
20210600967,1
20210600968,0
20210600969,1
20210600970,1
20210600971,1
20210600972,0
20210600973,0
20210600974,1
20210600975,1
20210600976,1
20210600977,0
20210600978,0
20210600979,0
20210600980,0
20210600981,0
20210600982,1
20210600983,0
20210600984,1
20210600985,1
20210600986,1
20210600987,1
20210600988,0
20210600989,1
20210600990,1
20210600991,1
20210600992,1
20210600993,1
20210600994,1
20210600995,1
20210600996,0
20210600997,1
20210600998,1
20210600999,1
20210601000,1
20210601001,1
20210601002,1
20210601003,1
20210601004,1
20210601005,1
20210601006,1
20210601007,1
20210601008,1
20210601009,0
20210601010,0
20210601011,0
20210601012,1
20210601013,1
20210601014,1
20210601015,1
20210601016,0
20210601017,1
20210601018,1
20210601019,1
20210601020,1
20210601021,0
20210601022,0
20210601023,1
20210601024,1
20210601025,0
20210601026,1
20210601027,1
20210601028,1
20210601029,1
20210601030,1
20210601031,1
20210601032,1
20210601033,0
20210601034,1
20210601035,0
20210601036,1
20210601037,1
20210601038,1
20210601039,1
20210601040,1
20210601041,0
20210601042,1
20210601043,1
20210601044,1
20210601045,1
20210601046,0
20210601047,1
20210601048,1
20210601049,1
20210601050,1
20210601051,1
20210601052,1
20210601053,1
20210601054,1
20210601055,1
20210601056,0
20210601057,0
20210601058,0
20210601059,1
20210601060,1
20210601061,1
20210601062,1
20210601063,1
20210601064,1
20210601065,1
20210601066,1
20210601067,1
20210601068,0
20210601069,0
20210601070,0
20210601071,1
20210601072,1
20210601073,0
20210601074,0
20210601075,1
20210601076,1
20210601077,1
20210601078,0
20210601079,1
20210601080,1
20210601081,1
20210601082,1
20210601083,1
20210601084,0
20210601085,1
20210601086,1
20210601087,1
20210601088,1
20210601089,1
20210601090,0
20210601091,1
20210601092,1
20210601093,0
20210601094,1
20210601095,0
20210601096,1
20210601097,1
20210601098,1
20210601099,1
20210601100,0
20210601101,1
20210601102,1
20210601103,1
20210601104,0
20210601105,1
20210601106,0
20210601107,0
20210601108,1
20210601109,0
20210601110,1
20210601111,1
20210601112,1
20210601113,1
20210601114,0
20210601115,1
20210601116,1
20210601117,1
20210601118,1
20210601119,1
20210601120,1
20210601121,1
20210601122,1
20210601123,0
20210601124,1
20210601125,1
20210601126,0
20210601127,1
20210601128,1
20210601129,1
20210601130,1
20210601131,1
20210601132,1
20210601133,1
20210601134,1
20210601135,0
20210601136,1
20210601137,0
20210601138,1
20210601139,0
20210601140,1
20210601141,0
20210601142,0
20210601143,1
20210601144,1
20210601145,1
20210601146,0
20210601147,1
20210601148,0
20210601149,1
20210601150,1
20210601151,0
20210601152,1
20210601153,1
20210601154,1
20210601155,0
20210601156,1
20210601157,1
20210601158,0
20210601159,1
20210601160,1
20210601161,1
20210601162,1
20210601163,1
20210601164,1
20210601165,1
20210601166,1
20210601167,1
20210601168,0
20210601169,0
20210601170,0
20210601171,1
20210601172,1
20210601173,1
20210601174,1
20210601175,1
20210601176,0
20210601177,0
20210601178,1
20210601179,1
20210601180,1
20210601181,1
20210601182,1
20210601183,1
20210601184,1
20210601185,1
20210601186,1
20210601187,0
20210601188,0
20210601189,1
20210601190,1
20210601191,1
20210601192,0
20210601193,1
20210601194,1
20210601195,1
20210601196,1
20210601197,1
20210601198,1
20210601199,1
20210601200,1
20210601201,1
20210601202,0
20210601203,1
20210601204,1
20210601205,0
20210601206,0
20210601207,0
20210601208,0
20210601209,0
20210601210,1
20210601211,1
20210601212,0
20210601213,0
20210601214,1
20210601215,0
20210601216,1
20210601217,0
20210601218,1
20210601219,1
20210601220,1
20210601221,0
20210601222,0
20210601223,0
20210601224,1
20210601225,0
20210601226,1
20210601227,1
20210601228,1
20210601229,1
20210601230,0
20210601231,1
20210601232,1
20210601233,1
20210601234,0
20210601235,1
20210601236,1
20210601237,1
20210601238,1
20210601239,1
20210601240,0
20210601241,0
20210601242,1
20210601243,1
20210601244,1
20210601245,0
20210601246,1
20210601247,1
20210601248,1
20210601249,1
20210601250,1
20210601251,0
20210601252,0
20210601253,0
20210601254,1
20210601255,1
20210601256,1
20210601257,1
20210601258,0
20210601259,0
20210601260,0
20210601261,0
20210601262,1
20210601263,1
20210601264,1
20210601265,0
20210601266,1
20210601267,0
20210601268,0
20210601269,1
20210601270,1
20210601271,1
20210601272,1
20210601273,1
20210601274,0
20210601275,1
20210601276,1
20210601277,1
20210601278,0
20210601279,1
20210601280,1
20210601281,1
20210601282,1
20210601283,0
20210601284,1
20210601285,0
20210601286,1
20210601287,1
20210601288,1
20210601289,0
20210601290,0
20210601291,0
20210601292,1
20210601293,0
20210601294,0
20210601295,1
20210601296,1
20210601297,1
20210601298,0
20210601299,1
20210601300,1
20210601301,1
20210601302,1
20210601303,1
20210601304,1
20210601305,0
20210601306,1
20210601307,1
20210601308,1
20210601309,1
20210601310,1
20210601311,1
20210601312,1
20210601313,1
20210601314,1
20210601315,0
20210601316,0
20210601317,0
20210601318,1
20210601319,1
20210601320,1
20210601321,1
20210601322,1
20210601323,1
20210601324,0
20210601325,1
20210601326,1
20210601327,0
20210601328,1
20210601329,0
20210601330,1
20210601331,0
20210601332,1
20210601333,1
20210601334,0
20210601335,1
20210601336,1
20210601337,1
20210601338,0
20210601339,1
20210601340,0
20210601341,1
20210601342,0
20210601343,1
20210601344,1
20210601345,1
20210601346,1
20210601347,0
20210601348,0
20210601349,0
20210601350,1
20210601351,1
20210601352,1
20210601353,0
20210601354,1
20210601355,1
20210601356,1
20210601357,0
20210601358,1
20210601359,0
20210601360,1
20210601361,0
20210601362,1
20210601363,1
20210601364,1
20210601365,1
20210601366,1
20210601367,0
20210601368,1
20210601369,1
20210601370,1
20210601371,1
20210601372,1
20210601373,1
20210601374,1
20210601375,1
20210601376,1
20210601377,1
20210601378,1
20210601379,1
20210601380,1
20210601381,0
20210601382,1
20210601383,1
20210601384,0
20210601385,1
20210601386,0
20210601387,0
20210601388,0
20210601389,1
20210601390,1
20210601391,1
20210601392,1
20210601393,0
20210601394,1
20210601395,1
20210601396,0
20210601397,0
20210601398,1
20210601399,1
20210601400,1
20210601401,1
20210601402,0
20210601403,1
20210601404,1
20210601405,1
20210601406,1
20210601407,0
20210601408,1
20210601409,1
20210601410,0
20210601411,1
20210601412,1
20210601413,0
20210601414,1
20210601415,0
20210601416,1
20210601417,1
20210601418,1
20210601419,1
20210601420,1
20210601421,1
20210601422,1
20210601423,1
20210601424,0
20210601425,1
20210601426,0
20210601427,0
20210601428,0
20210601429,0
20210601430,1
20210601431,1
20210601432,0
20210601433,0
20210601434,1
20210601435,1
20210601436,1
20210601437,1
20210601438,0
20210601439,1
20210601440,1
20210601441,1
20210601442,1
20210601443,1
20210601444,1
20210601445,1
20210601446,1
20210601447,1
20210601448,0
20210601449,1
20210601450,1
20210601451,1
20210601452,1
20210601453,1
20210601454,1
20210601455,0
20210601456,1
20210601457,0
20210601458,1
20210601459,1
20210601460,1
20210601461,1
20210601462,1
20210601463,1
20210601464,1
20210601465,1
20210601466,1
20210601467,1
20210601468,1
20210601469,1
20210601470,1
20210601471,1
20210601472,1
20210601473,1
20210601474,0
20210601475,0
20210601476,1
20210601477,1
20210601478,1
20210601479,1
20210601480,1
20210601481,0
20210601482,1
20210601483,1
20210601484,1
20210601485,1
20210601486,1
20210601487,1
20210601488,1
20210601489,0
20210601490,1
20210601491,1
20210601492,1
20210601493,0
20210601494,0
20210601495,0
20210601496,1
20210601497,1
20210601498,0
20210601499,1
20210601500,1
20210601501,1
20210601502,1
20210601503,1
20210601504,0
20210601505,1
20210601506,1
20210601507,0
20210601508,0
20210601509,1
20210601510,1
20210601511,0
20210601512,1
20210601513,1
20210601514,1
20210601515,1
20210601516,1
20210601517,1
20210601518,1
20210601519,1
20210601520,1
20210601521,1
20210601522,0
20210601523,1
20210601524,1
20210601525,1
20210601526,1
20210601527,0
20210601528,1
20210601529,1
20210601530,1
20210601531,0
20210601532,1
20210601533,1
20210601534,0
20210601535,1
20210601536,1
20210601537,0
20210601538,1
20210601539,0
20210601540,1
20210601541,1
20210601542,1
20210601543,1
20210601544,1
20210601545,1
20210601546,1
20210601547,0
20210601548,0
20210601549,1
20210601550,0
20210601551,0
20210601552,1
20210601553,1
20210601554,0
20210601555,0
20210601556,1
20210601557,1
20210601558,1
20210601559,0
20210601560,1
20210601561,0
20210601562,0
20210601563,1
20210601564,1
20210601565,0
20210601566,1
20210601567,0
20210601568,1
20210601569,0
20210601570,1
20210601571,1
20210601572,1
20210601573,1
20210601574,0
20210601575,0
20210601576,1
20210601577,1
20210601578,1
20210601579,0
20210601580,1
20210601581,1
20210601582,1
20210601583,1
20210601584,1
20210601585,0
20210601586,1
20210601587,1
20210601588,0
20210601589,0
20210601590,1
20210601591,1
20210601592,1
20210601593,0
20210601594,0
20210601595,1
20210601596,1
20210601597,1
20210601598,0
20210601599,1
20210601600,0
20210601601,1
20210601602,1
20210601603,1
20210601604,1
20210601605,0
20210601606,1
20210601607,1
20210601608,1
20210601609,0
20210601610,1
20210601611,1
20210601612,0
20210601613,1
20210601614,1
20210601615,1
20210601616,0
20210601617,1
20210601618,1
20210601619,0
20210601620,0
20210601621,0
20210601622,1
20210601623,1
20210601624,1
20210601625,0
20210601626,1
20210601627,1
20210601628,1
20210601629,1
20210601630,1
20210601631,1
20210601632,0
20210601633,0
20210601634,1
20210601635,0
20210601636,1
20210601637,1
20210601638,1
20210601639,0
20210601640,1
20210601641,1
20210601642,1
20210601643,1
20210601644,1
20210601645,0
20210601646,1
20210601647,1
20210601648,1
20210601649,0
20210601650,1
20210601651,0
20210601652,1
20210601653,1
20210601654,0
20210601655,1
20210601656,1
20210601657,0
20210601658,1
20210601659,0
20210601660,1
20210601661,0
20210601662,0
20210601663,0
20210601664,0
20210601665,0
20210601666,1
20210601667,0
20210601668,1
20210601669,1
20210601670,1
20210601671,1
20210601672,1
20210601673,0
20210601674,1
20210601675,0
20210601676,1
20210601677,1
20210601678,1
20210601679,0
20210601680,0
20210601681,0
20210601682,1
20210601683,0
20210601684,0
20210601685,1
20210601686,1
20210601687,1
20210601688,1
20210601689,1
20210601690,1
20210601691,1
20210601692,1
20210601693,1
20210601694,1
20210601695,0
20210601696,1
20210601697,1
20210601698,0
20210601699,0
20210601700,0
20210601701,1
20210601702,1
20210601703,1
20210601704,1
20210601705,1
20210601706,0
20210601707,0
20210601708,1
20210601709,0
20210601710,1
20210601711,0
20210601712,0
20210601713,0
20210601714,1
20210601715,1
20210601716,1
20210601717,1
20210601718,1
20210601719,1
20210601720,0
20210601721,0
20210601722,0
20210601723,0
20210601724,1
20210601725,1
20210601726,0
20210601727,1
20210601728,1
20210601729,1
20210601730,1
20210601731,1
20210601732,1
20210601733,0
20210601734,1
20210601735,0
20210601736,1
20210601737,0
20210601738,1
20210601739,0
20210601740,0
20210601741,1
20210601742,1
20210601743,1
20210601744,0
20210601745,1
20210601746,1
20210601747,1
20210601748,0
20210601749,1
20210601750,1
20210601751,0
20210601752,1
20210601753,1
20210601754,1
20210601755,0
20210601756,1
20210601757,1
20210601758,1
20210601759,1
20210601760,1
20210601761,1
20210601762,1
20210601763,0
20210601764,1
20210601765,1
20210601766,1
20210601767,1
20210601768,0
20210601769,1
20210601770,1
20210601771,0
20210601772,0
20210601773,1
20210601774,0
20210601775,1
20210601776,1
20210601777,1
20210601778,1
20210601779,1
20210601780,0
20210601781,0
20210601782,1
20210601783,1
20210601784,1
20210601785,1
20210601786,0
20210601787,0
20210601788,1
20210601789,1
20210601790,1
20210601791,1
20210601792,1
20210601793,1
20210601794,1
20210601795,1
20210601796,0
20210601797,1
20210601798,1
20210601799,1
20210601800,0
20210601801,1
20210601802,1
20210601803,0
20210601804,1
20210601805,1
20210601806,1
20210601807,0
20210601808,0
20210601809,0
20210601810,0
20210601811,1
20210601812,0
20210601813,1
20210601814,1
20210601815,0
20210601816,1
20210601817,0
20210601818,1
20210601819,1
20210601820,1
20210601821,1
20210601822,1
20210601823,1
20210601824,0
20210601825,1
20210601826,1
20210601827,1
20210601828,1
20210601829,1
20210601830,0
20210601831,1
20210601832,1
20210601833,1
20210601834,1
20210601835,1
20210601836,1
20210601837,1
20210601838,1
20210601839,0
20210601840,1
20210601841,0
20210601842,0
20210601843,0
20210601844,1
20210601845,1
20210601846,1
20210601847,1
20210601848,1
20210601849,1
20210601850,0
20210601851,1
20210601852,1
20210601853,1
20210601854,0
20210601855,1
20210601856,0
20210601857,1
20210601858,0
20210601859,1
20210601860,1
20210601861,1
20210601862,0
20210601863,0
20210601864,1
20210601865,0
20210601866,0
20210601867,1
20210601868,1
20210601869,1
20210601870,1
20210601871,1
20210601872,1
20210601873,1
20210601874,0
20210601875,0
20210601876,1
20210601877,1
20210601878,1
20210601879,1
20210601880,0
20210601881,0
20210601882,1
20210601883,1
20210601884,1
20210601885,1
20210601886,0
20210601887,1
20210601888,0
20210601889,0
20210601890,0
20210601891,0
20210601892,0
20210601893,0
20210601894,1
20210601895,1
20210601896,1
20210601897,0
20210601898,1
20210601899,1
20210601900,1
20210601901,0
20210601902,1
20210601903,1
20210601904,0
20210601905,1
20210601906,0
20210601907,0
20210601908,1
20210601909,1
20210601910,1
20210601911,1
20210601912,1
20210601913,1
20210601914,1
20210601915,1
20210601916,1
20210601917,1
20210601918,1
20210601919,1
20210601920,1
20210601921,1
20210601922,1
20210601923,1
20210601924,1
20210601925,0
20210601926,1
20210601927,1
20210601928,1
20210601929,1
20210601930,0
20210601931,0
20210601932,1
20210601933,1
20210601934,1
20210601935,1
20210601936,1
20210601937,1
20210601938,1
20210601939,0
20210601940,0
20210601941,0
20210601942,0
20210601943,1
20210601944,1
20210601945,1
20210601946,0
20210601947,0
20210601948,1
20210601949,0
20210601950,1
20210601951,1
20210601952,1
20210601953,1
20210601954,0
20210601955,1
20210601956,1
20210601957,1
20210601958,1
20210601959,1
20210601960,1
20210601961,1
20210601962,1
20210601963,1
20210601964,0
20210601965,0
20210601966,0
20210601967,0
20210601968,1
20210601969,1
20210601970,1
20210601971,1
20210601972,0
20210601973,1
20210601974,1
20210601975,1
20210601976,1
20210601977,1
20210601978,0
20210601979,0
20210601980,0
20210601981,1
20210601982,1
20210601983,0
20210601984,1
20210601985,1
20210601986,0
20210601987,1
20210601988,1
20210601989,1
20210601990,0
20210601991,0
20210601992,1
20210601993,1
20210601994,0
20210601995,1
20210601996,1
